ProductId,OrderID,Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,,,,,
P0030,ORD100029,Smartwatch FitPro,Wearables,FitPro,Jumia,Dubai,1682.41,2,3364.82,2.35,3355,,,,,
P0031,ORD100030,Samsung Galaxy A14,Electronics,Samsung,Jumia,Giza,6584.51,3,19753.53,1.02,4582,,,,,
P0032,ORD100031,HP Pavilion Laptop,Computers,HP,Souq,Giza,3760.61,2,7521.22,3.05,2947,,,,,
P0033,ORD100032,Dell Inspiron 3501,Computers,Dell,Amazon,Alexandria,15781.15,4,63124.6,2.04,4325,,,,,
P0034,ORD100033,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,9205.93,2,18411.86,1.53,4684,,,,,
P0035,ORD100034,Adidas Running Shoes,Fashion,Adidas,Souq,Riyadh,8827.96,5,44139.8,2.22,1653,,,,,
P0036,ORD100035,iPhone 13,Electronics,Apple,Souq,Casablanca,3698.12,4,14792.48,4,4028,,,,,
P0037,ORD100036,iPhone 13,Electronics,Apple,Souq,Cairo,19025.22,2,38050.44,1.07,2108,,,,,
P0038,ORD100037,Bluetooth Headset,Accessories,JBL,Amazon,Alexandria,7460.49,5,37302.45,1.76,967,,,,,
P0039,ORD100038,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,8959.05,3,26877.15,3.54,3816,,,,,
P0040,ORD100039,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Dubai,16159.36,4,64637.44,2.66,1433,,,,,
P0041,ORD100040,HP Pavilion Laptop,Computers,HP,Souq,Giza,14053.17,5,70265.85,2.92,2252,,,,,
P0042,ORD100041,Dell Inspiron 3501,Computers,Dell,Amazon,Casablanca,5551.93,5,27759.65,3.65,4041,,,,,
P0043,ORD100042,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Dubai,12852.91,4,51411.64,1.38,4551,,,,,
P0044,ORD100043,Nike Air Max,Fashion,Nike,Souq,Cairo,8129.36,5,40646.8,4.28,1636,,,,,
P0045,ORD100044,iPhone 13,Electronics,Apple,Jumia,Casablanca,8545.16,2,17090.32,1.57,3430,,,,,
P0046,ORD100045,Nike Air Max,Fashion,Nike,Jumia,Dubai,12387.97,4,49551.88,2.32,1568,,,,,
P0047,ORD100046,T-shirt Cotton,Fashion,Generic,Amazon,Giza,10278.34,1,10278.34,4.39,3827,,,,,
P0048,ORD100047,Nike Air Max,Fashion,Nike,Jumia,Giza,11576.04,5,57880.2,3.97,2789,,,,,
P0049,ORD100048,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Casablanca,12112.14,3,36336.42,3.7,2088,,,,,
P0050,ORD100049,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,2211.64,4,8846.56,1.88,1320,,,,,
P0051,ORD100050,HP Pavilion Laptop,Computers,HP,Jumia,Cairo,3124.84,5,15624.2,4.13,2304,,,,,
P0052,ORD100051,iPhone 13,Electronics,Apple,Amazon,Riyadh,756.73,2,1513.46,4.57,3465,,,,,
P0053,ORD100052,iPhone 13,Electronics,Apple,Souq,Riyadh,14895.57,1,14895.57,3.73,4267,,,,,
P0054,ORD100053,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,18273.23,1,18273.23,1.46,1062,,,,,
P0055,ORD100054,Adidas Running Shoes,Fashion,Adidas,Amazon,Alexandria,10005.53,5,50027.65,1.14,2537,,,,,
P0056,ORD100055,HP Pavilion Laptop,Computers,HP,Amazon,Alexandria,4126.25,4,16505,3.27,1716,,,,,
P0057,ORD100056,Adidas Running Shoes,Fashion,Adidas,Amazon,Giza,19815.58,5,99077.9,3.93,635,,,,,
P0058,ORD100057,Adidas Running Shoes,Fashion,Adidas,Amazon,Casablanca,2256.74,3,6770.22,3.45,1109,,,,,
P0059,ORD100058,HP Pavilion Laptop,Computers,HP,Amazon,Giza,1482.74,4,5930.96,3.64,3180,,,,,
P0060,ORD100059,iPhone 13,Electronics,Apple,Souq,Alexandria,7877.19,1,7877.19,4.33,74,,,,,
P0061,ORD100060,iPhone 13,Electronics,Apple,Souq,Riyadh,12970.41,3,38911.23,4.71,382,,,,,
P0062,ORD100061,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Casablanca,12669.24,2,25338.48,1.04,541,,,,,
P0063,ORD100062,Bluetooth Headset,Accessories,JBL,Amazon,Riyadh,13550.34,4,54201.36,4.62,1604,,,,,
P0064,ORD100063,Smartwatch FitPro,Wearables,FitPro,Jumia,Giza,18610.55,2,37221.1,1.2,23,,,,,
P0065,ORD100064,T-shirt Cotton,Fashion,Generic,Jumia,Dubai,12309.76,3,36929.28,3.85,3862,,,,,
P0066,ORD100065,Dell Inspiron 3501,Computers,Dell,Souq,Riyadh,10538.13,2,21076.26,4.28,2757,,,,,
P0067,ORD100066,Bluetooth Headset,Accessories,JBL,Amazon,Dubai,2059.56,1,2059.56,2.26,4608,,,,,
P0068,ORD100067,Adidas Running Shoes,Fashion,Adidas,Amazon,Riyadh,867.36,1,867.36,4.51,1725,,,,,
P0069,ORD100068,Bluetooth Headset,Accessories,JBL,Souq,Casablanca,19518.01,2,39036.02,3.57,4164,,,,,
P0070,ORD100069,iPhone 13,Electronics,Apple,Souq,Dubai,5639.27,1,5639.27,3.45,2458,,,,,
P0071,ORD100070,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Giza,5338.3,5,26691.5,2.98,3744,,,,,
P0072,ORD100071,Dell Inspiron 3501,Computers,Dell,Amazon,Dubai,15596.39,2,31192.78,4.72,5000,,,,,
P0073,ORD100072,Nike Air Max,Fashion,Nike,Jumia,Cairo,3963.43,4,15853.72,1.22,4677,,,,,
P0074,ORD100073,Samsung Galaxy A14,Electronics,Samsung,Amazon,Dubai,7881.58,4,31526.32,3.73,1747,,,,,
P0075,ORD100074,Adidas Running Shoes,Fashion,Adidas,Amazon,Cairo,8551.18,1,8551.18,4.56,4219,,,,,
P0076,ORD100075,iPhone 13,Electronics,Apple,Souq,Alexandria,13558.27,1,13558.27,2.53,931,,,,,
P0077,ORD100076,Nike Air Max,Fashion,Nike,Souq,Dubai,17105.39,3,51316.17,2.68,4192,,,,,
P0078,ORD100077,Smartwatch FitPro,Wearables,FitPro,Amazon,Casablanca,15288.47,2,30576.94,4.57,2309,,,,,
P0079,ORD100078,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Cairo,19086.5,5,95432.5,3.75,4431,,,,,
P0080,ORD100079,Bluetooth Headset,Accessories,JBL,Souq,Giza,7564.18,4,30256.72,1.79,445,,,,,
P0081,ORD100080,Nike Air Max,Fashion,Nike,Souq,Alexandria,7919.88,2,15839.76,3.03,1652,,,,,
P0082,ORD100081,Adidas Running Shoes,Fashion,Adidas,Souq,Giza,17787.92,3,53363.76,4.92,3648,,,,,
P0083,ORD100082,Smartwatch FitPro,Wearables,FitPro,Amazon,Giza,4894.12,4,19576.48,1.3,3235,,,,,
P0084,ORD100083,T-shirt Cotton,Fashion,Generic,Jumia,Casablanca,9574.88,2,19149.76,4.6,2288,,,,,
P0085,ORD100084,T-shirt Cotton,Fashion,Generic,Souq,Dubai,11226.5,4,44906,3.09,4662,,,,,
P0086,ORD100085,Adidas Running Shoes,Fashion,Adidas,Jumia,Casablanca,1569.06,4,6276.24,4.92,4342,,,,,
P0087,ORD100086,iPhone 13,Electronics,Apple,Amazon,Giza,5492.13,5,27460.65,4.13,4175,,,,,
P0088,ORD100087,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Cairo,1052.63,2,2105.26,4.36,499,,,,,
P0089,ORD100088,Smartwatch FitPro,Wearables,FitPro,Jumia,Cairo,14714.58,4,58858.32,4.21,9,,,,,
P0090,ORD100089,Samsung Galaxy A14,Electronics,Samsung,Souq,Casablanca,5026.21,1,5026.21,3.36,3909,,,,,
P0091,ORD100090,Dell Inspiron 3501,Computers,Dell,Souq,Cairo,14164.14,4,56656.56,2.01,969,,,,,
P0092,ORD100091,Bluetooth Headset,Accessories,JBL,Souq,Dubai,1603.38,5,8016.9,3.61,3419,,,,,
P0093,ORD100092,HP Pavilion Laptop,Computers,HP,Amazon,Casablanca,2604.4,1,2604.4,3.07,2237,,,,,
P0094,ORD100093,Smartwatch FitPro,Wearables,FitPro,Jumia,Alexandria,8923.17,3,26769.51,1.63,504,,,,,
P0095,ORD100094,Smartwatch FitPro,Wearables,FitPro,Souq,Casablanca,6220.11,1,6220.11,1.76,1992,,,,,
P0096,ORD100095,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Riyadh,3129.59,4,12518.36,3.73,741,,,,,
P0097,ORD100096,Samsung Galaxy A14,Electronics,Samsung,Amazon,Giza,358.74,3,1076.22,1.97,4382,,,,,
P0098,ORD100097,Samsung Galaxy A14,Electronics,Samsung,Souq,Giza,18847.29,1,18847.29,2.99,3252,,,,,
P0099,ORD100098,Smartwatch FitPro,Wearables,FitPro,Souq,Dubai,6558.5,2,13117,1.01,1446,,,,,
P0100,ORD100099,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,17649.86,5,88249.3,3.88,1667,,,,,
P0101,ORD100100,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Cairo,9543.53,1,9543.53,1.8,2183,,,,,
P0102,ORD100101,Adidas Running Shoes,Fashion,Adidas,Souq,Cairo,12553.72,5,62768.6,4.03,3718,,,,,
P0103,ORD100102,Smartwatch FitPro,Wearables,FitPro,Souq,Riyadh,2784.77,2,5569.54,4.92,3568,,,,,
P0104,ORD100103,HP Pavilion Laptop,Computers,HP,Jumia,Cairo,19025.43,5,95127.15,1.54,1385,,,,,
P0105,ORD100104,Bluetooth Headset,Accessories,JBL,Amazon,Giza,18642.22,3,55926.66,4.33,1641,,,,,
P0106,ORD100105,Bluetooth Headset,Accessories,JBL,Amazon,Casablanca,15360.28,1,15360.28,2.51,1082,,,,,
P0107,ORD100106,iPhone 13,Electronics,Apple,Souq,Riyadh,8008.52,4,32034.08,2.97,951,,,,,
P0108,ORD100107,Adidas Running Shoes,Fashion,Adidas,Amazon,Alexandria,4120.36,2,8240.72,3.97,3836,,,,,
P0109,ORD100108,Samsung Galaxy A14,Electronics,Samsung,Souq,Cairo,8125.12,1,8125.12,1.71,2684,,,,,
P0110,ORD100109,HP Pavilion Laptop,Computers,HP,Souq,Giza,7572.32,3,22716.96,3.62,3468,,,,,
P0111,ORD100110,iPhone 13,Electronics,Apple,Amazon,Cairo,8188.88,5,40944.4,3.45,1119,,,,,
P0112,ORD100111,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Cairo,459.64,3,1378.92,3.74,381,,,,,
P0113,ORD100112,Samsung Galaxy A14,Electronics,Samsung,Amazon,Giza,269.18,2,538.36,2.46,3168,,,,,
P0114,ORD100113,HP Pavilion Laptop,Computers,HP,Jumia,Casablanca,2071.32,4,8285.28,3.9,4771,,,,,
P0115,ORD100114,Samsung Galaxy A14,Electronics,Samsung,Souq,Cairo,5317.74,2,10635.48,1.87,1596,,,,,
P0116,ORD100115,Adidas Running Shoes,Fashion,Adidas,Amazon,Dubai,17786.64,2,35573.28,1.94,3216,,,,,
P0117,ORD100116,Adidas Running Shoes,Fashion,Adidas,Amazon,Dubai,18219.13,5,91095.65,4.81,390,,,,,
P0118,ORD100117,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,12941.86,1,12941.86,2.33,2527,,,,,
P0119,ORD100118,Bluetooth Headset,Accessories,JBL,Souq,Giza,8397.24,3,25191.72,4.6,3546,,,,,
P0120,ORD100119,Smartwatch FitPro,Wearables,FitPro,Jumia,Casablanca,11119.45,5,55597.25,2.88,2220,,,,,
P0121,ORD100120,Dell Inspiron 3501,Computers,Dell,Souq,Giza,912.15,5,4560.75,2.42,3827,,,,,
P0122,ORD100121,T-shirt Cotton,Fashion,Generic,Jumia,Giza,3352.72,3,10058.16,1.47,698,,,,,
P0123,ORD100122,HP Pavilion Laptop,Computers,HP,Souq,Cairo,9574.21,4,38296.84,4.99,1678,,,,,
P0124,ORD100123,Nike Air Max,Fashion,Nike,Souq,Giza,17035.28,2,34070.56,4.64,571,,,,,
P0125,ORD100124,Nike Air Max,Fashion,Nike,Amazon,Casablanca,2582.44,4,10329.76,3.82,4296,,,,,
P0126,ORD100125,Bluetooth Headset,Accessories,JBL,Amazon,Casablanca,16774.22,2,33548.44,4.85,766,,,,,
P0127,ORD100126,Adidas Running Shoes,Fashion,Adidas,Jumia,Cairo,1178.25,2,2356.5,2.24,4167,,,,,
P0128,ORD100127,HP Pavilion Laptop,Computers,HP,Souq,Riyadh,10953.53,5,54767.65,1.78,3621,,,,,
P0129,ORD100128,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Alexandria,9516.21,2,19032.42,3.89,229,,,,,
P0130,ORD100129,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,10082.76,4,40331.04,3.53,3577,,,,,
P0131,ORD100130,Dell Inspiron 3501,Computers,Dell,Souq,Riyadh,15389.49,4,61557.96,4.71,225,,,,,
P0132,ORD100131,HP Pavilion Laptop,Computers,HP,Souq,Giza,15054.63,1,15054.63,2.29,212,,,,,
P0133,ORD100132,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,17344.22,2,34688.44,4.5,4390,,,,,
P0134,ORD100133,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,3563.05,2,7126.1,4.64,2442,,,,,
P0135,ORD100134,Adidas Running Shoes,Fashion,Adidas,Jumia,Dubai,17832.84,5,89164.2,3.86,596,,,,,
P0136,ORD100135,HP Pavilion Laptop,Computers,HP,Amazon,Riyadh,18294.37,3,54883.11,4.54,4734,,,,,
P0137,ORD100136,HP Pavilion Laptop,Computers,HP,Jumia,Riyadh,13555.2,1,13555.2,4.33,4809,,,,,
P0138,ORD100137,Samsung Galaxy A14,Electronics,Samsung,Jumia,Dubai,10513.34,3,31540.02,3.89,3265,,,,,
P0139,ORD100138,Bluetooth Headset,Accessories,JBL,Jumia,Giza,16569.6,4,66278.4,3.71,1008,,,,,
P0140,ORD100139,iPhone 13,Electronics,Apple,Jumia,Giza,4358.05,5,21790.25,1.38,1933,,,,,
P0141,ORD100140,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Alexandria,10373.7,4,41494.8,4.74,1044,,,,,
P0142,ORD100141,Bluetooth Headset,Accessories,JBL,Souq,Alexandria,425.23,5,2126.15,3.1,2441,,,,,
P0143,ORD100142,Bluetooth Headset,Accessories,JBL,Souq,Dubai,8713.46,2,17426.92,1.2,209,,,,,
P0144,ORD100143,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Alexandria,3092.83,4,12371.32,4.71,3811,,,,,
P0145,ORD100144,Bluetooth Headset,Accessories,JBL,Jumia,Casablanca,15434.38,4,61737.52,4.47,4246,,,,,
P0146,ORD100145,Dell Inspiron 3501,Computers,Dell,Amazon,Giza,6983.31,3,20949.93,1.23,1500,,,,,
P0147,ORD100146,T-shirt Cotton,Fashion,Generic,Jumia,Giza,3964.13,5,19820.65,2.95,758,,,,,
P0148,ORD100147,Bluetooth Headset,Accessories,JBL,Souq,Dubai,5830.08,3,17490.24,2.25,31,,,,,
P0149,ORD100148,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Cairo,15019.37,1,15019.37,4.7,757,,,,,
P0150,ORD100149,Samsung Galaxy A14,Electronics,Samsung,Souq,Giza,1128.05,1,1128.05,4.59,213,,,,,
P0151,ORD100150,HP Pavilion Laptop,Computers,HP,Souq,Casablanca,19703.54,4,78814.16,3.27,4255,,,,,
P0152,ORD100151,Adidas Running Shoes,Fashion,Adidas,Jumia,Alexandria,6654.77,4,26619.08,4.62,766,,,,,
P0153,ORD100152,Adidas Running Shoes,Fashion,Adidas,Jumia,Casablanca,4081.63,1,4081.63,4.36,1562,,,,,
P0154,ORD100153,Adidas Running Shoes,Fashion,Adidas,Amazon,Casablanca,13224.65,5,66123.25,3.82,4050,,,,,
P0155,ORD100154,Bluetooth Headset,Accessories,JBL,Jumia,Dubai,4003.94,2,8007.88,4.16,3565,,,,,
P0156,ORD100155,Samsung Galaxy A14,Electronics,Samsung,Jumia,Cairo,13243.22,2,26486.44,3.4,3233,,,,,
P0157,ORD100156,Samsung Galaxy A14,Electronics,Samsung,Jumia,Riyadh,5594.32,1,5594.32,2.32,1537,,,,,
P0158,ORD100157,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,816.2,2,1632.4,4.54,3541,,,,,
P0159,ORD100158,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,18802.41,5,94012.05,4.49,1979,,,,,
P0160,ORD100159,HP Pavilion Laptop,Computers,HP,Jumia,Dubai,9759.38,5,48796.9,2.1,1765,,,,,
P0161,ORD100160,Samsung Galaxy A14,Electronics,Samsung,Jumia,Dubai,11172.49,5,55862.45,4.38,4830,,,,,
P0162,ORD100161,Dell Inspiron 3501,Computers,Dell,Amazon,Alexandria,18763.55,4,75054.2,3.58,808,,,,,
P0163,ORD100162,Smartwatch FitPro,Wearables,FitPro,Jumia,Cairo,3815.32,3,11445.96,3.34,1954,,,,,
P0164,ORD100163,Samsung Galaxy A14,Electronics,Samsung,Amazon,Dubai,4144.58,1,4144.58,3.97,4557,,,,,
P0165,ORD100164,Dell Inspiron 3501,Computers,Dell,Souq,Riyadh,5591.69,2,11183.38,2.58,4293,,,,,
P0166,ORD100165,iPhone 13,Electronics,Apple,Souq,Giza,16855.68,1,16855.68,2.59,1749,,,,,
P0167,ORD100166,Bluetooth Headset,Accessories,JBL,Amazon,Riyadh,9869.53,5,49347.65,4.27,79,,,,,
P0168,ORD100167,Samsung Galaxy A14,Electronics,Samsung,Jumia,Dubai,13646.15,2,27292.3,4.24,2638,,,,,
P0169,ORD100168,Nike Air Max,Fashion,Nike,Jumia,Alexandria,8140.53,2,16281.06,2.31,3972,,,,,
P0170,ORD100169,Nike Air Max,Fashion,Nike,Amazon,Casablanca,4310.63,2,8621.26,1.78,3311,,,,,
P0171,ORD100170,Nike Air Max,Fashion,Nike,Jumia,Alexandria,11982.84,1,11982.84,2.99,2887,,,,,
P0172,ORD100171,Smartwatch FitPro,Wearables,FitPro,Amazon,Alexandria,9065.42,5,45327.1,3.98,2575,,,,,
P0173,ORD100172,Bluetooth Headset,Accessories,JBL,Amazon,Dubai,18705.82,1,18705.82,1.9,4321,,,,,
P0174,ORD100173,iPhone 13,Electronics,Apple,Souq,Riyadh,2903.55,3,8710.65,1.03,1132,,,,,
P0175,ORD100174,Nike Air Max,Fashion,Nike,Souq,Casablanca,19212.24,4,76848.96,3.82,3515,,,,,
P0176,ORD100175,T-shirt Cotton,Fashion,Generic,Amazon,Casablanca,14572.72,5,72863.6,1,398,,,,,
P0177,ORD100176,HP Pavilion Laptop,Computers,HP,Jumia,Giza,17068.37,3,51205.11,4.4,4481,,,,,
P0178,ORD100177,iPhone 13,Electronics,Apple,Souq,Cairo,15494.89,5,77474.45,3.92,216,,,,,
P0179,ORD100178,T-shirt Cotton,Fashion,Generic,Amazon,Cairo,15204.36,1,15204.36,4.68,1259,,,,,
P0180,ORD100179,T-shirt Cotton,Fashion,Generic,Jumia,Cairo,11422.05,3,34266.15,2.29,2750,,,,,
P0181,ORD100180,T-shirt Cotton,Fashion,Generic,Amazon,Casablanca,10811.24,4,43244.96,2.26,2671,,,,,
P0182,ORD100181,Adidas Running Shoes,Fashion,Adidas,Souq,Riyadh,3783.73,3,11351.19,4.21,1064,,,,,
P0183,ORD100182,Nike Air Max,Fashion,Nike,Amazon,Riyadh,5063.71,3,15191.13,4.32,62,,,,,
P0184,ORD100183,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Alexandria,3667.22,1,3667.22,1.95,4730,,,,,
P0185,ORD100184,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Giza,4520.58,1,4520.58,1.99,2854,,,,,
P0186,ORD100185,HP Pavilion Laptop,Computers,HP,Amazon,Giza,10944.66,2,21889.32,3.32,3404,,,,,
P0187,ORD100186,iPhone 13,Electronics,Apple,Jumia,Riyadh,7164.15,1,7164.15,3.64,1774,,,,,
P0188,ORD100187,Samsung Galaxy A14,Electronics,Samsung,Amazon,Dubai,7141.58,4,28566.32,3.64,2773,,,,,
P0189,ORD100188,Bluetooth Headset,Accessories,JBL,Souq,Alexandria,7070.15,5,35350.75,3.65,2089,,,,,
P0190,ORD100189,Samsung Galaxy A14,Electronics,Samsung,Amazon,Giza,2258.04,3,6774.12,4.03,3749,,,,,
P0191,ORD100190,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,1018,2,2036,2.69,598,,,,,
P0192,ORD100191,Adidas Running Shoes,Fashion,Adidas,Jumia,Alexandria,16575.35,5,82876.75,4.48,372,,,,,
P0193,ORD100192,Bluetooth Headset,Accessories,JBL,Souq,Alexandria,19772.85,1,19772.85,1.16,3234,,,,,
P0194,ORD100193,Dell Inspiron 3501,Computers,Dell,Souq,Dubai,4941.81,1,4941.81,2.88,1214,,,,,
P0195,ORD100194,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,11811.63,3,35434.89,4.88,3698,,,,,
P0196,ORD100195,Smartwatch FitPro,Wearables,FitPro,Amazon,Casablanca,6402.17,1,6402.17,4.98,2247,,,,,
P0197,ORD100196,Smartwatch FitPro,Wearables,FitPro,Jumia,Cairo,19852.76,5,99263.8,2.21,1341,,,,,
P0198,ORD100197,T-shirt Cotton,Fashion,Generic,Jumia,Casablanca,11547.96,4,46191.84,2.24,1394,,,,,
P0199,ORD100198,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Giza,11678.62,5,58393.1,2.79,160,,,,,
P0200,ORD100199,Bluetooth Headset,Accessories,JBL,Amazon,Cairo,12591.67,2,25183.34,1.32,655,,,,,
P0201,ORD100200,Samsung Galaxy A14,Electronics,Samsung,Jumia,Riyadh,16574.13,2,33148.26,1.26,3641,,,,,
P0202,ORD100201,T-shirt Cotton,Fashion,Generic,Jumia,Alexandria,14808.65,1,14808.65,4.92,1511,,,,,
P0203,ORD100202,HP Pavilion Laptop,Computers,HP,Souq,Dubai,6882.75,5,34413.75,3.7,4073,,,,,
P0204,ORD100203,Smartwatch FitPro,Wearables,FitPro,Jumia,Dubai,17609.55,5,88047.75,4.76,1162,,,,,
P0205,ORD100204,iPhone 13,Electronics,Apple,Souq,Alexandria,15832.54,3,47497.62,4.91,3753,,,,,
P0206,ORD100205,Dell Inspiron 3501,Computers,Dell,Jumia,Casablanca,5920.8,3,17762.4,4.14,3065,,,,,
P0207,ORD100206,Bluetooth Headset,Accessories,JBL,Souq,Giza,9725.77,1,9725.77,4.9,2431,,,,,
P0208,ORD100207,Bluetooth Headset,Accessories,JBL,Amazon,Cairo,11305.18,1,11305.18,4.73,3975,,,,,
P0209,ORD100208,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,4760.86,1,4760.86,1.01,2717,,,,,
P0210,ORD100209,Smartwatch FitPro,Wearables,FitPro,Jumia,Dubai,11259.08,4,45036.32,4.35,925,,,,,
P0211,ORD100210,Smartwatch FitPro,Wearables,FitPro,Amazon,Cairo,17811.95,1,17811.95,4.7,2682,,,,,
P0212,ORD100211,Nike Air Max,Fashion,Nike,Amazon,Riyadh,5956.97,1,5956.97,4.18,4905,,,,,
P0213,ORD100212,Nike Air Max,Fashion,Nike,Souq,Dubai,2547.77,5,12738.85,1.38,4752,,,,,
P0214,ORD100213,iPhone 13,Electronics,Apple,Souq,Alexandria,15258.29,1,15258.29,3.74,2427,,,,,
P0215,ORD100214,Samsung Galaxy A14,Electronics,Samsung,Jumia,Dubai,12359.28,3,37077.84,3.74,1841,,,,,
P0216,ORD100215,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,3720.33,3,11160.99,3.96,4609,,,,,
P0217,ORD100216,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Casablanca,1741.6,5,8708,4.73,3626,,,,,
